State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude
Bihar,Gaya,2020,June,Wednesday,6:47,Serious,5,Car,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,Bridge,24.810023,84.976147
Telangana,Hyderabad,2021,August,Friday,18:57,Serious,3,Bus,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,Intersection,17.385249,78.470896
Arunachal Pradesh,Naharlagun,2018,August,Friday,12:6,Minor,4,Cycle,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,,No,Curve,27.090226,93.687296
Andhra Pradesh,Tirupati,2019,October,Sunday,12:47,Minor,2,Cycle,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,Curve,13.63998,79.422967
Karnataka,Bangalore,2023,October,Thursday,18:59,Fatal,5,Car,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,Intersection,12.980946,77.577814
Sikkim,Namchi,2023,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,Bridge,27.183752,88.386781
Chhattisgarh,Korba,2022,April,Saturday,6:39,Fatal,3,Car,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,Straight Road,22.359269,82.73626
Madhya Pradesh,Bhopal,2018,June,Tuesday,8:10,Serious,5,Two-Wheeler,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,Bridge,23.27497,77.425104
Puducherry,Puducherry,2022,February,Wednesday,1:35,Serious,2,Car,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,Straight Road,11.923301,79.814877
Uttar Pradesh,Varanasi,2022,July,Friday,18:51,Fatal,1,Two-Wheeler,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,Bridge,25.298901,82.974229
Maharashtra,Nagpur,2022,December,Tuesday,13:34,Serious,3,Cycle,1,3,Foggy,National Highway,Dry,Daylight,,106,48,Male,,No,Intersection,21.126672,79.108489
Jammu and Kashmir,Baramulla,2022,February,Monday,3:29,Serious,1,Two-Wheeler,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,,No,Straight Road,34.201942,74.320167
Tamil Nadu,Madurai,2018,August,Tuesday,11:10,Fatal,3,Auto-Rickshaw,2,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,92,43,Female,,Yes,Intersection,9.938834,78.137164
Madhya Pradesh,Indore,2019,April,Wednesday,15:58,Minor,2,Pedestrian,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,65,Male,,No,Straight Road,22.729845,75.839722
Madhya Pradesh,Jabalpur,2023,August,Wednesday,0:54,Fatal,1,Car,10,1,Stormy,National Highway,Damaged,Dusk,,90,64,Female,Expired,No,Bridge,23.171863,79.986669
Chandigarh,Chandigarh,2019,March,Friday,15:42,Serious,2,Bus,8,0,Stormy,Village Road,Wet,Daylight,Signals,83,31,Female,Expired,No,Curve,30.740461,76.780013
Uttar Pradesh,Varanasi,2018,May,Sunday,10:53,Minor,3,Two-Wheeler,2,1,Hazy,National Highway,Under Construction,Dusk,,33,24,Female,Valid,Yes,Straight Road,25.318703,82.963502
Gujarat,Surat,2019,March,Thursday,15:1,Fatal,2,Car,7,0,Stormy,State Highway,Under Construction,Dawn,Signs,69,51,Female,Valid,No,Bridge,21.190401,72.827798
Uttar Pradesh,Lucknow,2022,November,Tuesday,9:25,Fatal,1,Bus,0,3,Clear,National Highway,Under Construction,Dark,Signals,53,63,Male,Valid,No,Straight Road,26.8316,80.953894
Maharashtra,Mumbai,2020,July,Saturday,23:21,Serious,5,Bus,6,2,Hazy,Urban Road,Damaged,Dawn,Signs,82,68,Female,Valid,No,Curve,19.081323,72.892611
Odisha,Rourkela,2018,July,Thursday,12:1,Minor,3,Auto-Rickshaw,7,2,Stormy,State Highway,Damaged,Dark,Signs,79,41,Male,Valid,Yes,Curve,22.281551,84.829116
Telangana,Warangal,2023,August,Saturday,17:37,Minor,2,Pedestrian,8,3,Stormy,National Highway,Dry,Dawn,,30,40,Male,,Yes,Bridge,17.980892,79.614911
West Bengal,Durgapur,2023,February,Sunday,11:2,Serious,3,Cycle,9,5,Hazy,Village Road,Damaged,Dark,,106,25,Female,Expired,Yes,Straight Road,23.538321,87.294441
Kerala,Kozhikode,2019,January,Tuesday,16:3,Fatal,2,Car,3,1,Foggy,State Highway,Damaged,Dawn,,102,32,Female,Expired,No,Bridge,11.242873,75.767575
Assam,Dibrugarh,2020,July,Thursday,19:18,Minor,2,Car,1,5,Foggy,National Highway,Under Construction,Dawn,,48,69,Female,Expired,No,Curve,27.475494,94.901281
Nagaland,Kohima,2018,June,Saturday,17:43,Minor,5,Truck,5,3,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32,65,Male,Valid,No,Intersection,25.652589,94.10092
Meghalaya,Jowai,2022,February,Monday,6:20,Serious,1,Truck,4,1,Hazy,Urban Road,Under Construction,Dusk,Signs,59,60,Male,Valid,No,Straight Road,25.45505,92.19448
Chhattisgarh,Raipur,2022,February,Wednesday,17:8,Fatal,2,Truck,5,5,Rainy,National Highway,Under Construction,Daylight,,88,53,Female,Expired,No,Bridge,21.23855,81.626306
Gujarat,Surat,2022,July,Tuesday,20:19,Serious,5,Auto-Rickshaw,2,2,Foggy,Village Road,Damaged,Dusk,Signs,83,56,Male,Valid,No,Intersection,21.168397,72.826318
West Bengal,Kolkata,2020,April,Friday,7:58,Minor,2,Auto-Rickshaw,2,5,Clear,State Highway,Under Construction,Dawn,,58,47,Female,Valid,No,Bridge,22.573269,88.38693
West Bengal,Kolkata,2018,December,Sunday,7:46,Serious,5,Cycle,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,Straight Road,22.593336,88.359564
Tripura,Udaipur,2022,February,Sunday,10:52,Serious,1,Truck,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,Curve,23.523677,91.493772
Karnataka,Bangalore,2021,February,Wednesday,22:36,Minor,3,Truck,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,,Yes,Intersection,12.981057,77.612667
West Bengal,Durgapur,2021,November,Friday,9:4,Minor,3,Auto-Rickshaw,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,,No,Intersection,23.5083,87.299747
Chhattisgarh,Bilaspur,2020,January,Tuesday,19:34,Fatal,5,Cycle,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,Curve,22.098442,82.13051
Himachal Pradesh,Dharamshala,2019,October,Wednesday,5:0,Serious,2,Car,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,,Yes,Intersection,32.236962,76.315883
Gujarat,Ahmedabad,2023,May,Sunday,4:33,Minor,4,Auto-Rickshaw,9,4,Hazy,National Highway,Dry,Dusk,,41,49,Female,Valid,No,Curve,23.014931,72.574792
Gujarat,Ahmedabad,2019,December,Wednesday,0:26,Fatal,4,Two-Wheeler,3,5,Rainy,State Highway,Wet,Dusk,,61,51,Female,,No,Intersection,23.024245,72.54819
Uttar Pradesh,Kanpur,2018,May,Thursday,18:57,Minor,2,Two-Wheeler,6,2,Rainy,National Highway,Wet,Dusk,,109,30,Male,Valid,No,Bridge,26.458005,80.327708
Odisha,Rourkela,2022,August,Tuesday,22:43,Fatal,4,Two-Wheeler,1,3,Foggy,National Highway,Under Construction,Daylight,,30,57,Male,Expired,No,Curve,22.25427,84.841616
Uttarakhand,Haldwani,2022,May,Sunday,9:10,Minor,5,Auto-Rickshaw,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,,Yes,Straight Road,29.216942,79.496123
Chhattisgarh,Durg,2021,April,Saturday,5:38,Serious,4,Pedestrian,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,Intersection,21.181231,81.305868
Karnataka,Mangalore,2020,October,Thursday,20:21,Serious,2,Bus,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,Straight Road,12.954544,77.592327
Uttarakhand,Haldwani,2022,February,Sunday,0:35,Serious,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,,No,Intersection,29.226154,79.504989
Arunachal Pradesh,Itanagar,2023,February,Friday,22:31,Fatal,2,Two-Wheeler,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,,Yes,Bridge,27.069672,93.628211
West Bengal,Siliguri,2022,November,Tuesday,0:24,Fatal,5,Cycle,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,,No,Bridge,22.583101,88.38257
Chhattisgarh,Durg,2018,April,Monday,7:9,Serious,3,Two-Wheeler,8,3,Foggy,State Highway,Dry,Dawn,,70,62,Female,Valid,Yes,Bridge,21.198082,81.308018
Haryana,Faridabad,2021,August,Sunday,8:33,Fatal,1,Two-Wheeler,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,,No,Intersection,28.414995,77.31513
Andhra Pradesh,Vijayawada,2022,January,Monday,7:51,Minor,1,Pedestrian,0,0,Clear,National Highway,Dry,Dawn,,95,51,Female,Expired,No,Bridge,16.51477,80.666557
Assam,Jorhat,2023,June,Saturday,6:10,Fatal,2,Bus,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,Straight Road,26.749589,94.18406
Himachal Pradesh,Dharamshala,2018,October,Saturday,10:6,Minor,1,Cycle,6,3,Foggy,Village Road,Damaged,Dawn,,85,55,Male,Valid,No,Intersection,32.230817,76.30926
Odisha,Puri,2019,June,Thursday,21:56,Fatal,5,Two-Wheeler,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,Curve,19.822734,85.838292
Telangana,Nizamabad,2019,August,Saturday,10:54,Serious,3,Bus,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,Intersection,18.691374,78.11013
Uttarakhand,Roorkee,2021,February,Thursday,20:23,Serious,1,Auto-Rickshaw,5,0,Foggy,Urban Road,Wet,Dark,,61,35,Male,Expired,No,Straight Road,29.878303,77.901355
Goa,Panaji,2018,February,Saturday,15:1,Fatal,3,Auto-Rickshaw,0,4,Clear,Village Road,Damaged,Dawn,,35,23,Female,,Yes,Curve,15.477212,73.848942
Chandigarh,Chandigarh,2023,August,Wednesday,17:55,Fatal,4,Auto-Rickshaw,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,Straight Road,30.724478,76.800149
Assam,Dibrugarh,2023,April,Sunday,5:27,Fatal,2,Pedestrian,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,Intersection,27.464234,94.929158
Odisha,Cuttack,2018,May,Wednesday,0:29,Serious,3,Pedestrian,0,3,Hazy,Urban Road,Wet,Dusk,,30,41,Female,,No,Intersection,20.477015,85.90446
Mizoram,Champhai,2018,June,Friday,16:53,Serious,4,Truck,0,2,Hazy,Village Road,Dry,Dark,,97,68,Male,,Yes,Intersection,23.477432,93.302068
Gujarat,Vadodara,2023,March,Wednesday,13:40,Fatal,3,Truck,2,3,Foggy,Urban Road,Wet,Dawn,Signs,105,59,Male,Expired,No,Intersection,22.318638,73.161668
Meghalaya,Shillong,2018,April,Tuesday,2:42,Serious,5,Auto-Rickshaw,6,2,Hazy,State Highway,Under Construction,Dawn,Signs,94,45,Female,Expired,Yes,Straight Road,25.569101,91.875526
Karnataka,Mysore,2019,October,Monday,5:10,Minor,4,Bus,10,2,Stormy,Village Road,Wet,Dark,,44,42,Female,,Yes,Bridge,12.971483,77.572724
Uttarakhand,Roorkee,2020,April,Saturday,16:57,Minor,3,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,25,Female,Expired,Yes,Straight Road,29.873017,77.878589
Delhi,Dwarka,2018,January,Tuesday,4:43,Serious,5,Two-Wheeler,1,4,Rainy,State Highway,Under Construction,Dusk,,77,63,Female,,Yes,Intersection,28.574959,77.022688
Jharkhand,Ranchi,2022,April,Thursday,0:43,Fatal,4,Cycle,10,3,Clear,State Highway,Dry,Dark,Police Checkpost,38,57,Female,,Yes,Straight Road,23.32138,85.330299
Assam,Dibrugarh,2020,April,Saturday,19:42,Minor,1,Car,3,2,Clear,Village Road,Damaged,Dark,Signals,43,60,Female,,No,Straight Road,27.459956,94.895759
Jammu and Kashmir,Anantnag,2023,February,Saturday,9:18,Fatal,1,Cycle,3,1,Clear,National Highway,Dry,Dusk,Signals,41,62,Male,,No,Bridge,33.735523,75.144255
Punjab,Patiala,2018,April,Tuesday,15:40,Serious,5,Car,1,3,Stormy,National Highway,Dry,Dark,Police Checkpost,30,49,Female,,No,Curve,30.338296,76.386381
Jammu and Kashmir,Srinagar,2023,December,Friday,17:12,Fatal,5,Cycle,10,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,61,Female,Expired,Yes,Intersection,34.095876,74.789172
Gujarat,Vadodara,2018,August,Thursday,9:3,Minor,4,Pedestrian,10,0,Foggy,National Highway,Dry,Dawn,Signals,74,21,Female,Expired,No,Bridge,22.329843,73.186542
Maharashtra,Nagpur,2019,June,Monday,16:44,Minor,2,Car,5,5,Hazy,State Highway,Under Construction,Dawn,Signals,101,45,Female,,Yes,Bridge,21.124363,79.09831
Manipur,Thoubal,2020,May,Sunday,8:53,Minor,5,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Daylight,Signals,33,24,Female,Valid,Yes,Bridge,24.650319,94.020512
Maharashtra,Nagpur,2023,May,Wednesday,12:2,Fatal,4,Two-Wheeler,7,1,Hazy,Urban Road,Under Construction,Dusk,Signs,57,49,Female,Expired,No,Straight Road,21.141119,79.1108
Chandigarh,Chandigarh,2020,October,Wednesday,17:6,Minor,1,Car,1,1,Rainy,Village Road,Damaged,Dusk,,43,60,Male,Expired,Yes,Curve,30.740151,76.783269
Madhya Pradesh,Gwalior,2022,July,Sunday,2:57,Minor,1,Car,8,2,Hazy,Urban Road,Dry,Dawn,Signs,81,18,Female,Expired,Yes,Intersection,26.231166,78.188443
Bihar,Gaya,2023,March,Monday,3:27,Fatal,4,Bus,1,1,Hazy,Village Road,Dry,Dusk,Signals,67,63,Female,Expired,No,Bridge,24.819547,84.983469
Tripura,Udaipur,2022,February,Saturday,2:35,Fatal,4,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signals,98,64,Female,Expired,Yes,Curve,23.552527,91.469471
Madhya Pradesh,Jabalpur,2018,October,Tuesday,11:17,Serious,2,Bus,4,3,Clear,Village Road,Under Construction,Daylight,Signs,73,18,Female,Expired,No,Curve,23.160563,80.00233
Jharkhand,Ranchi,2021,November,Tuesday,23:18,Minor,2,Bus,3,0,Stormy,Village Road,Dry,Dusk,,95,36,Male,Expired,Yes,Intersection,23.337837,85.325415
Assam,Guwahati,2022,May,Saturday,12:31,Minor,2,Bus,4,4,Stormy,Urban Road,Damaged,Dark,,82,27,Female,,Yes,Bridge,26.161063,91.750608
Punjab,Amritsar,2018,August,Sunday,14:45,Serious,1,Cycle,3,1,Rainy,Village Road,Wet,Daylight,Signals,74,57,Male,Expired,No,Curve,31.644808,74.858509
Nagaland,Dimapur,2018,July,Friday,9:17,Fatal,3,Auto-Rickshaw,7,3,Stormy,Urban Road,Damaged,Dawn,Signs,47,37,Male,Valid,No,Curve,25.888015,93.744505
Uttar Pradesh,Lucknow,2020,April,Saturday,1:29,Minor,4,Car,5,3,Clear,National Highway,Damaged,Daylight,,36,34,Female,Expired,No,Curve,26.835896,80.94363
Gujarat,Ahmedabad,2022,August,Sunday,12:26,Serious,1,Two-Wheeler,3,3,Rainy,State Highway,Under Construction,Daylight,Signs,59,55,Female,Expired,Yes,Bridge,23.038476,72.563523
Tripura,Udaipur,2020,August,Monday,16:40,Serious,5,Cycle,10,5,Rainy,National Highway,Dry,Dusk,Police Checkpost,37,40,Female,Expired,No,Straight Road,23.542537,91.474443
Assam,Guwahati,2020,February,Saturday,12:7,Minor,2,Car,1,2,Stormy,Village Road,Damaged,Dusk,,73,61,Female,,Yes,Curve,26.149604,91.721569
Karnataka,Mysore,2020,December,Tuesday,12:46,Fatal,2,Car,9,0,Foggy,Urban Road,Dry,Dusk,,60,58,Male,Expired,Yes,Straight Road,12.992367,77.5787
Telangana,Karimnagar,2023,September,Sunday,13:12,Minor,1,Car,6,3,Stormy,State Highway,Dry,Dawn,Signs,84,52,Male,Expired,No,Bridge,18.44628,79.145275
Tripura,Dharmanagar,2020,December,Sunday,10:51,Fatal,4,Auto-Rickshaw,4,4,Clear,State Highway,Dry,Daylight,Signs,100,62,Male,,No,Intersection,24.365527,92.14667
Andhra Pradesh,Tirupati,2019,August,Saturday,6:11,Serious,4,Cycle,5,3,Rainy,State Highway,Wet,Dusk,,98,44,Male,,No,Intersection,13.634175,79.427441
Kerala,Thrissur,2022,April,Monday,5:20,Minor,3,Two-Wheeler,10,3,Clear,Urban Road,Under Construction,Dusk,,86,30,Male,Expired,Yes,Curve,10.551552,76.207333
Jammu and Kashmir,Anantnag,2019,March,Sunday,7:50,Serious,1,Car,0,0,Hazy,National Highway,Dry,Daylight,Police Checkpost,50,20,Male,Expired,Yes,Bridge,33.715896,75.128868
Goa,Margao,2020,June,Sunday,15:50,Fatal,1,Auto-Rickshaw,8,5,Stormy,Village Road,Wet,Dark,Signals,49,51,Female,Valid,Yes,Curve,15.297631,73.977268
Gujarat,Vadodara,2023,August,Wednesday,10:13,Serious,4,Pedestrian,5,4,Stormy,Village Road,Wet,Daylight,Signs,102,29,Male,Valid,No,Curve,22.329735,73.157299
Uttarakhand,Haridwar,2021,May,Thursday,5:29,Fatal,2,Bus,2,2,Stormy,Village Road,Damaged,Daylight,Signals,86,27,Male,Valid,Yes,Straight Road,29.95214,78.175848
Meghalaya,Tura,2019,September,Friday,20:43,Fatal,5,Bus,2,4,Hazy,National Highway,Dry,Dusk,,103,64,Male,Expired,No,Straight Road,25.533586,90.204672
Manipur,Bishnupur,2022,August,Saturday,11:22,Minor,4,Car,8,4,Foggy,Village Road,Under Construction,Dark,Signals,41,37,Male,Expired,Yes,Straight Road,24.637947,93.785111
Chhattisgarh,Bhilai,2020,October,Friday,18:43,Fatal,4,Auto-Rickshaw,3,5,Clear,State Highway,Damaged,Dusk,Signs,111,59,Male,Expired,No,Curve,21.184748,81.367442
Karnataka,Mysore,2022,December,Tuesday,22:37,Serious,4,Auto-Rickshaw,9,4,Stormy,Urban Road,Wet,Dusk,,92,20,Female,,No,Intersection,12.995507,77.582008
Manipur,Bishnupur,2021,June,Wednesday,3:40,Fatal,5,Pedestrian,4,5,Foggy,Urban Road,Under Construction,Dark,Signals,32,26,Male,Valid,Yes,Intersection,24.616971,93.79132
Jharkhand,Dhanbad,2019,October,Wednesday,8:16,Minor,1,Auto-Rickshaw,10,5,Hazy,National Highway,Under Construction,Dusk,Signs,50,61,Female,,No,Curve,23.784944,86.415964
Mizoram,Aizawl,2021,May,Monday,3:50,Serious,3,Truck,9,5,Rainy,State Highway,Under Construction,Dusk,Signs,83,34,Female,Expired,Yes,Intersection,23.702458,92.709696
Chandigarh,Chandigarh,2018,October,Tuesday,18:24,Fatal,5,Two-Wheeler,5,0,Stormy,State Highway,Damaged,Dusk,,120,22,Male,Expired,No,Intersection,30.753426,76.774836
Punjab,Patiala,2023,May,Friday,2:20,Minor,3,Truck,0,0,Clear,National Highway,Dry,Dusk,Signs,66,50,Male,,Yes,Intersection,30.333175,76.388779
Tripura,Dharmanagar,2023,February,Wednesday,13:20,Serious,4,Auto-Rickshaw,0,1,Clear,Village Road,Dry,Dawn,Police Checkpost,69,24,Male,,No,Straight Road,24.369071,92.169914
Telangana,Warangal,2020,June,Monday,3:19,Minor,5,Two-Wheeler,10,1,Stormy,Urban Road,Damaged,Dusk,,73,50,Male,,Yes,Curve,17.947739,79.574752
Karnataka,Mangalore,2022,June,Sunday,17:25,Fatal,3,Bus,8,4,Rainy,National Highway,Wet,Daylight,,86,37,Male,,No,Curve,12.950648,77.61231
Madhya Pradesh,Bhopal,2023,July,Monday,21:40,Fatal,4,Cycle,3,1,Rainy,State Highway,Wet,Dusk,,81,45,Female,Expired,No,Intersection,23.264381,77.406166
Chandigarh,Chandigarh,2020,May,Sunday,17:9,Minor,2,Bus,10,0,Rainy,National Highway,Under Construction,Dark,,61,47,Female,Valid,No,Bridge,30.749378,76.760207
Tamil Nadu,Chennai,2019,May,Friday,22:3,Minor,3,Bus,10,4,Hazy,National Highway,Wet,Daylight,,35,31,Female,Valid,No,Intersection,13.106969,80.292538
Delhi,Rohini,2019,April,Monday,16:44,Fatal,5,Bus,7,3,Stormy,State Highway,Under Construction,Daylight,,77,63,Male,Expired,No,Intersection,28.730457,77.060195
Chhattisgarh,Durg,2018,October,Wednesday,10:18,Fatal,1,Bus,1,2,Clear,Urban Road,Wet,Daylight,Police Checkpost,119,49,Female,Expired,No,Bridge,21.195917,81.269247
Puducherry,Puducherry,2022,February,Wednesday,4:31,Serious,5,Cycle,10,5,Hazy,Urban Road,Under Construction,Dark,Police Checkpost,30,39,Male,Valid,No,Bridge,11.965678,79.832753
West Bengal,Kolkata,2018,June,Saturday,20:12,Serious,1,Bus,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,88,53,Male,Expired,Yes,Intersection,22.587714,88.363957
Tamil Nadu,Chennai,2023,November,Thursday,21:27,Serious,5,Two-Wheeler,10,1,Rainy,Urban Road,Under Construction,Dawn,Signals,80,32,Male,,Yes,Intersection,13.071469,80.266161
Punjab,Ludhiana,2019,May,Tuesday,22:18,Minor,5,Pedestrian,4,4,Stormy,Village Road,Wet,Dawn,Signs,49,57,Female,Expired,Yes,Intersection,30.889519,75.858834
Karnataka,Bangalore,2020,May,Thursday,6:49,Serious,2,Cycle,8,2,Rainy,Urban Road,Wet,Daylight,Signs,96,43,Male,Valid,Yes,Intersection,12.981733,77.5956
Nagaland,Kohima,2020,November,Sunday,20:49,Serious,3,Cycle,0,4,Foggy,National Highway,Dry,Daylight,Police Checkpost,79,54,Female,Expired,Yes,Intersection,25.672848,94.131768
Maharashtra,Nagpur,2019,July,Monday,20:4,Fatal,3,Pedestrian,2,2,Clear,National Highway,Wet,Dark,Signals,35,55,Male,Valid,Yes,Bridge,21.157569,79.096928
Meghalaya,Tura,2022,October,Thursday,4:47,Fatal,5,Bus,10,2,Clear,Urban Road,Damaged,Dawn,Police Checkpost,95,18,Female,,Yes,Curve,25.527202,90.205581
Karnataka,Mangalore,2023,June,Sunday,23:33,Serious,3,Two-Wheeler,5,3,Rainy,National Highway,Wet,Dark,Signals,31,42,Female,Valid,No,Straight Road,12.955689,77.603939
Haryana,Faridabad,2023,August,Sunday,6:1,Minor,1,Cycle,9,0,Foggy,Urban Road,Dry,Dusk,Signs,70,50,Female,,No,Curve,28.430563,77.300326
Tamil Nadu,Madurai,2018,January,Friday,22:19,Minor,1,Truck,9,1,Hazy,State Highway,Damaged,Daylight,Signals,55,67,Male,,No,Straight Road,9.912833,78.14367
Sikkim,Gangtok,2022,September,Thursday,22:7,Serious,2,Car,0,5,Foggy,State Highway,Wet,Dark,,107,45,Female,Valid,No,Bridge,27.316411,88.583241
Bihar,Gaya,2021,June,Tuesday,6:44,Fatal,5,Car,10,4,Stormy,State Highway,Under Construction,Dark,,44,34,Male,Valid,No,Curve,24.787742,85.016835
Odisha,Puri,2019,September,Friday,8:19,Serious,2,Two-Wheeler,4,4,Stormy,Village Road,Damaged,Dark,Signals,68,43,Male,Expired,Yes,Curve,19.838236,85.819697
Telangana,Nizamabad,2019,July,Friday,20:20,Serious,1,Car,1,5,Hazy,Urban Road,Wet,Dawn,Signs,53,18,Female,Valid,No,Intersection,18.681855,78.093244
Andhra Pradesh,Visakhapatnam,2021,December,Thursday,7:47,Minor,4,Bus,5,4,Clear,State Highway,Under Construction,Dawn,Police Checkpost,119,29,Male,,No,Curve,17.668048,83.228345
Chhattisgarh,Bilaspur,2019,May,Friday,0:21,Minor,4,Auto-Rickshaw,0,2,Foggy,Village Road,Dry,Dusk,Police Checkpost,56,61,Female,Valid,No,Intersection,22.091543,82.157704
Madhya Pradesh,Bhopal,2019,November,Thursday,10:31,Serious,1,Car,1,0,Stormy,State Highway,Dry,Daylight,Police Checkpost,117,21,Male,Valid,No,Curve,23.268878,77.420574
Assam,Guwahati,2021,August,Sunday,23:25,Fatal,2,Pedestrian,5,5,Rainy,State Highway,Under Construction,Daylight,,52,51,Female,Expired,No,Curve,26.131608,91.742684
