,State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Traffic Congestion
14,Telangana,Hyderabad,2021,August,Friday,18:57,Serious,3,Bus,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,Intersection,17.385249,78.470896,32.4871316303188,28.953088378906276,22.412210083007835,0.7745966692414833
15,Arunachal Pradesh,Naharlagun,2018,August,Friday,12:6,Minor,4,Cycle,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,,No,Curve,27.090226,93.687296,18.665099787540385,30.54120788574221,25.34128723144533,0.8944271909999159
16,Andhra Pradesh,Tirupati,2019,October,Sunday,12:47,Minor,2,Cycle,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,Curve,13.63998,79.422967,43.87983651218974,30.570855712890648,23.37766418457033,0.6324555320336759
17,Karnataka,Bangalore,2023,October,Thursday,18:59,Fatal,5,Car,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,Intersection,12.980946,77.577814,11.599662899300256,28.879785156250023,19.658853149414085,1.0
18,Sikkim,Namchi,2023,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,Bridge,27.183752,88.386781,5.46510368583597,20.274133300781276,13.735574340820335,0.7745966692414833
19,Chhattisgarh,Korba,2022,April,Saturday,6:39,Fatal,3,Car,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,Straight Road,22.359269,82.73626,0.0622956111122618,40.14148864746096,25.923699951171898,0.7745966692414833
20,Madhya Pradesh,Bhopal,2018,June,Tuesday,8:10,Serious,5,Two-Wheeler,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,Bridge,23.27497,77.425104,0.0008535584470337,35.94866333007815,26.222940063476585,1.0
21,Puducherry,Puducherry,2022,February,Wednesday,1:35,Serious,2,Car,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,Straight Road,11.923301,79.814877,-9999.0,-9999.0,-9999.0,0.6324555320336759
22,Uttar Pradesh,Varanasi,2022,July,Friday,18:51,Fatal,1,Two-Wheeler,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,Bridge,25.298901,82.974229,1.0137319647647305,36.188699340820335,28.830712890625023,0.4472135954999579
23,Maharashtra,Nagpur,2022,December,Tuesday,13:34,Serious,3,Cycle,1,3,Foggy,National Highway,Dry,Daylight,,106,48,Male,,No,Intersection,21.126672,79.108489,0.0012890293419332,29.948937988281276,20.506753540039085,0.7745966692414833
24,Jammu and Kashmir,Baramulla,2022,February,Monday,3:29,Serious,1,Two-Wheeler,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,,No,Straight Road,34.201942,74.320167,0.016788396976608,5.284829711914085,-3.9801544189452898,0.4472135954999579
25,Tamil Nadu,Madurai,2018,August,Tuesday,11:10,Fatal,3,Auto-Rickshaw,2,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,92,43,Female,,Yes,Intersection,9.938834,78.137164,229.13626701665635,29.34836730957033,22.851007080078148,0.7745966692414833
26,Madhya Pradesh,Indore,2019,April,Wednesday,15:58,Minor,2,Pedestrian,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,65,Male,,No,Straight Road,22.729845,75.839722,19.924978911831204,36.26064453125002,23.500512695312523,0.6324555320336759
27,Madhya Pradesh,Jabalpur,2023,August,Wednesday,0:54,Fatal,1,Car,10,1,Stormy,National Highway,Damaged,Dusk,,90,64,Female,Expired,No,Bridge,23.171863,79.986669,13.159915804862976,29.816445922851585,23.614068603515648,0.4472135954999579
28,Chandigarh,Chandigarh,2019,March,Friday,15:42,Serious,2,Bus,8,0,Stormy,Village Road,Wet,Daylight,Signals,83,31,Female,Expired,No,Curve,30.740461,76.780013,6.9556555213239335,22.85608825683596,9.45856628417971,0.6324555320336759
29,Uttar Pradesh,Varanasi,2018,May,Sunday,10:53,Minor,3,Two-Wheeler,2,1,Hazy,National Highway,Under Construction,Dusk,,33,24,Female,Valid,Yes,Straight Road,25.318703,82.963502,1.0303929448127749,36.15007934570315,25.183404541015648,0.7745966692414833
30,Gujarat,Surat,2019,March,Thursday,15:1,Fatal,2,Car,7,0,Stormy,State Highway,Under Construction,Dawn,Signs,69,51,Female,Valid,No,Bridge,21.190401,72.827798,0.0313988389279984,33.489053344726585,18.83942565917971,0.6324555320336759
31,Uttar Pradesh,Lucknow,2022,November,Tuesday,9:25,Fatal,1,Bus,0,3,Clear,National Highway,Under Construction,Dark,Signals,53,63,Male,Valid,No,Straight Road,26.8316,80.953894,0.0008523463179699,27.953713989257835,15.516137695312525,0.4472135954999579
32,Maharashtra,Mumbai,2020,July,Saturday,23:21,Serious,5,Bus,6,2,Hazy,Urban Road,Damaged,Dawn,Signs,82,68,Female,Valid,No,Curve,19.081323,72.892611,872.1869080369338,27.67768249511721,25.958459472656276,1.0
33,Odisha,Rourkela,2018,July,Thursday,12:1,Minor,3,Auto-Rickshaw,7,2,Stormy,State Highway,Damaged,Dark,Signs,79,41,Male,Valid,Yes,Curve,22.281551,84.829116,52.14743232623675,30.64191589355471,26.0078063964844,0.7745966692414833
34,Telangana,Warangal,2023,August,Saturday,17:37,Minor,2,Pedestrian,8,3,Stormy,National Highway,Dry,Dawn,,30,40,Male,,Yes,Bridge,17.980892,79.614911,30.038030818104744,30.208398437500023,24.914971923828148,0.6324555320336759
35,West Bengal,Durgapur,2023,February,Sunday,11:2,Serious,3,Cycle,9,5,Hazy,Village Road,Damaged,Dark,,106,25,Female,Expired,Yes,Straight Road,23.538321,87.294441,0.0235713523011327,25.887628173828148,11.37030944824221,0.7745966692414833
36,Kerala,Kozhikode,2019,January,Tuesday,16:3,Fatal,2,Car,3,1,Foggy,State Highway,Damaged,Dawn,,102,32,Female,Expired,No,Bridge,11.242873,75.767575,0.1450019303774752,31.90912780761721,21.195825195312523,0.6324555320336759
37,Assam,Dibrugarh,2020,July,Thursday,19:18,Minor,2,Car,1,5,Foggy,National Highway,Under Construction,Dawn,,48,69,Female,Expired,No,Curve,27.475494,94.901281,96.41356533812127,30.118325805664085,25.466119384765648,0.6324555320336759
38,Nagaland,Kohima,2018,June,Saturday,17:43,Minor,5,Truck,5,3,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32,65,Male,Valid,No,Intersection,25.652589,94.10092,159.70723936464992,26.585000610351585,18.473168945312523,1.0
39,Meghalaya,Jowai,2022,February,Monday,6:20,Serious,1,Truck,4,1,Hazy,Urban Road,Under Construction,Dusk,Signs,59,60,Male,Valid,No,Straight Road,25.45505,92.19448,0.0166989900094449,18.28742370605471,6.85968933105471,0.4472135954999579
40,Chhattisgarh,Raipur,2022,February,Wednesday,17:8,Fatal,2,Truck,5,5,Rainy,National Highway,Under Construction,Daylight,,88,53,Female,Expired,No,Bridge,21.23855,81.626306,0.0166989900094449,28.495767211914085,13.118402099609398,0.6324555320336759
41,Gujarat,Surat,2022,July,Tuesday,20:19,Serious,5,Auto-Rickshaw,2,2,Foggy,Village Road,Damaged,Dusk,Signs,83,56,Male,Valid,No,Intersection,21.168397,72.826318,273.1766518288232,27.353417968750023,25.11741027832033,1.0
42,West Bengal,Kolkata,2020,April,Friday,7:58,Minor,2,Auto-Rickshaw,2,5,Clear,State Highway,Under Construction,Dawn,,58,47,Female,Valid,No,Bridge,22.573269,88.38693,52.2565841674556,35.82930908203127,25.164849853515648,0.6324555320336759
43,West Bengal,Kolkata,2018,December,Sunday,7:46,Serious,5,Cycle,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,Straight Road,22.593336,88.359564,0.0141203387897803,26.13721618652346,17.818338012695335,1.0
44,Tripura,Udaipur,2022,February,Sunday,10:52,Serious,1,Truck,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,Curve,23.523677,91.493772,0.0166989900094449,26.46906433105471,13.41632995605471,0.4472135954999579
45,Karnataka,Bangalore,2021,February,Wednesday,22:36,Minor,3,Truck,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,,Yes,Intersection,12.981057,77.612667,0.0059851244600395,29.58997497558596,14.57892761230471,0.7745966692414833
46,West Bengal,Durgapur,2021,November,Friday,9:4,Minor,3,Auto-Rickshaw,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,,No,Intersection,23.5083,87.299747,111.07815280485056,23.201837158203148,18.658776855468773,0.7745966692414833
47,Chhattisgarh,Bilaspur,2020,January,Tuesday,19:34,Fatal,5,Cycle,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,Curve,22.098442,82.13051,0.0136673434099066,26.1101013183594,12.186730957031273,1.0
48,Himachal Pradesh,Dharamshala,2019,October,Wednesday,5:0,Serious,2,Car,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,,Yes,Intersection,32.236962,76.315883,32.12937870381438,11.108926391601583,2.9306579589843977,0.6324555320336759
49,Gujarat,Ahmedabad,2023,May,Sunday,4:33,Minor,4,Auto-Rickshaw,9,4,Hazy,National Highway,Dry,Dusk,,41,49,Female,Valid,No,Curve,23.014931,72.574792,0.055464831664409,40.67739257812502,26.584405517578148,0.8944271909999159
50,Gujarat,Ahmedabad,2019,December,Wednesday,0:26,Fatal,4,Two-Wheeler,3,5,Rainy,State Highway,Wet,Dusk,,61,51,Female,,No,Intersection,23.024245,72.54819,0.0137180179216045,25.4526306152344,15.062417602539083,0.8944271909999159
51,Uttar Pradesh,Kanpur,2018,May,Thursday,18:57,Minor,2,Two-Wheeler,6,2,Rainy,National Highway,Wet,Dusk,,109,30,Male,Valid,No,Bridge,26.458005,80.327708,0.0955909490585327,36.99125061035159,25.222467041015648,0.6324555320336759
52,Odisha,Rourkela,2022,August,Tuesday,22:43,Fatal,4,Two-Wheeler,1,3,Foggy,National Highway,Under Construction,Daylight,,30,57,Male,Expired,No,Curve,22.25427,84.841616,250.5433722387345,28.0685974121094,23.608743286132835,0.8944271909999159
53,Uttarakhand,Haldwani,2022,May,Sunday,9:10,Minor,5,Auto-Rickshaw,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,,Yes,Straight Road,29.216942,79.496123,0.48609822903245,33.941323852539085,21.208520507812523,1.0
54,Chhattisgarh,Durg,2021,April,Saturday,5:38,Serious,4,Pedestrian,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,Intersection,21.181231,81.305868,18.60467718163505,34.988442993164085,20.625421142578148,0.8944271909999159
55,Karnataka,Mangalore,2020,October,Thursday,20:21,Serious,2,Bus,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,Straight Road,12.954544,77.592327,1.061711460351944,25.664880371093773,18.558190917968773,0.6324555320336759
56,Uttarakhand,Haldwani,2022,February,Sunday,0:35,Serious,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,,No,Intersection,29.226154,79.504989,6.135756526134628,16.80109558105471,6.08625183105471,0.4472135954999579
57,Arunachal Pradesh,Itanagar,2023,February,Friday,22:31,Fatal,2,Two-Wheeler,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,,Yes,Bridge,27.069672,93.628211,0.0235713523011327,24.071557617187523,11.97144470214846,0.6324555320336759
58,West Bengal,Siliguri,2022,November,Tuesday,0:24,Fatal,5,Cycle,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,,No,Bridge,22.583101,88.38257,0.0008523463179699,27.2592712402344,15.57312927246096,1.0
59,Chhattisgarh,Durg,2018,April,Monday,7:9,Serious,3,Two-Wheeler,8,3,Foggy,State Highway,Dry,Dawn,,70,62,Female,Valid,Yes,Bridge,21.198082,81.308018,19.324356316321456,36.54255065917971,22.63898620605471,0.7745966692414833
60,Haryana,Faridabad,2021,August,Sunday,8:33,Fatal,1,Two-Wheeler,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,,No,Intersection,28.414995,77.31513,0.0576246280843406,34.496133422851585,26.040917968750023,0.4472135954999579
61,Andhra Pradesh,Vijayawada,2022,January,Monday,7:51,Minor,1,Pedestrian,0,0,Clear,National Highway,Dry,Dawn,,95,51,Female,Expired,No,Bridge,16.51477,80.666557,10.997612905043752,27.739953613281276,20.715997314453148,0.4472135954999579
62,Assam,Jorhat,2023,June,Saturday,6:10,Fatal,2,Bus,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,Straight Road,26.749589,94.18406,146.30440041888804,28.735375976562523,22.840127563476585,0.6324555320336759
63,Himachal Pradesh,Dharamshala,2018,October,Saturday,10:6,Minor,1,Cycle,6,3,Foggy,Village Road,Damaged,Dawn,,85,55,Male,Valid,No,Intersection,32.230817,76.30926,6.992430984944065,9.75440368652346,-1.1348175048827898,0.4472135954999579
64,Odisha,Puri,2019,June,Thursday,21:56,Fatal,5,Two-Wheeler,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,Curve,19.822734,85.838292,7.810416817619625,33.663735961914085,28.97132263183596,1.0
65,Telangana,Nizamabad,2019,August,Saturday,10:54,Serious,3,Bus,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,Intersection,18.691374,78.11013,26.818223297595974,30.345254516601585,23.244531250000023,0.7745966692414833
66,Uttarakhand,Roorkee,2021,February,Thursday,20:23,Serious,1,Auto-Rickshaw,5,0,Foggy,Urban Road,Wet,Dark,,61,35,Male,Expired,No,Straight Road,29.878303,77.901355,0.1812972859056572,24.847451782226585,9.89338073730471,0.4472135954999579
67,Goa,Panaji,2018,February,Saturday,15:1,Fatal,3,Auto-Rickshaw,0,4,Clear,Village Road,Damaged,Dawn,,35,23,Female,,Yes,Curve,15.477212,73.848942,0.0185263948537794,33.55603942871096,21.657739257812523,0.7745966692414833
68,Chandigarh,Chandigarh,2023,August,Wednesday,17:55,Fatal,4,Auto-Rickshaw,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,Straight Road,30.724478,76.800149,16.063854098320007,31.170816040039085,23.375909423828148,0.8944271909999159
69,Assam,Dibrugarh,2023,April,Sunday,5:27,Fatal,2,Pedestrian,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,Intersection,27.464234,94.929158,0.0093975623940423,33.50661621093752,21.014199829101585,0.6324555320336759
70,Odisha,Cuttack,2018,May,Wednesday,0:29,Serious,3,Pedestrian,0,3,Hazy,Urban Road,Wet,Dusk,,30,41,Female,,No,Intersection,20.477015,85.90446,15.40034357458353,34.11879882812502,25.374810791015648,0.7745966692414833
71,Mizoram,Champhai,2018,June,Friday,16:53,Serious,4,Truck,0,2,Hazy,Village Road,Dry,Dark,,97,68,Male,,Yes,Intersection,23.477432,93.302068,323.4473583301565,24.832177734375023,18.90113220214846,0.8944271909999159
72,Gujarat,Vadodara,2023,March,Wednesday,13:40,Fatal,3,Truck,2,3,Foggy,Urban Road,Wet,Dawn,Signs,105,59,Male,Expired,No,Intersection,22.318638,73.161668,0.2457333410461615,34.08118591308596,22.168817138671898,0.7745966692414833
73,Meghalaya,Shillong,2018,April,Tuesday,2:42,Serious,5,Auto-Rickshaw,6,2,Hazy,State Highway,Under Construction,Dawn,Signs,94,45,Female,Expired,Yes,Straight Road,25.569101,91.875526,70.92656530319985,22.0283142089844,13.610772705078148,1.0
74,Karnataka,Mysore,2019,October,Monday,5:10,Minor,4,Bus,10,2,Stormy,Village Road,Wet,Dark,,44,42,Female,,Yes,Bridge,12.971483,77.572724,77.40072504935824,26.5436950683594,19.7763610839844,0.8944271909999159
75,Uttarakhand,Roorkee,2020,April,Saturday,16:57,Minor,3,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,25,Female,Expired,Yes,Straight Road,29.873017,77.878589,16.410142183278964,34.53180847167971,18.48249206542971,0.7745966692414833
76,Delhi,Dwarka,2018,January,Tuesday,4:43,Serious,5,Two-Wheeler,1,4,Rainy,State Highway,Under Construction,Dusk,,77,63,Female,,Yes,Intersection,28.574959,77.022688,0.0171661366721309,22.23533020019533,7.59638366699221,1.0
77,Jharkhand,Ranchi,2022,April,Thursday,0:43,Fatal,4,Cycle,10,3,Clear,State Highway,Dry,Dark,Police Checkpost,38,57,Female,,Yes,Straight Road,23.32138,85.330299,0.0807134463478576,37.95203552246096,25.354776000976585,0.8944271909999159
78,Assam,Dibrugarh,2020,April,Saturday,19:42,Minor,1,Car,3,2,Clear,Village Road,Damaged,Dark,Signals,43,60,Female,,No,Straight Road,27.459956,94.895759,3.10407578942673,33.023782348632835,21.04499206542971,0.4472135954999579
79,Jammu and Kashmir,Anantnag,2023,February,Saturday,9:18,Fatal,1,Cycle,3,1,Clear,National Highway,Dry,Dusk,Signals,41,62,Male,,No,Bridge,33.735523,75.144255,0.0235713523011327,10.848565673828148,0.2331024169922102,0.4472135954999579
80,Punjab,Patiala,2018,April,Tuesday,15:40,Serious,5,Car,1,3,Stormy,National Highway,Dry,Dark,Police Checkpost,30,49,Female,,No,Curve,30.338296,76.386381,0.0652313220435019,37.18219909667971,19.677163696289085,1.0
81,Jammu and Kashmir,Srinagar,2023,December,Friday,17:12,Fatal,5,Cycle,10,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,61,Female,Expired,Yes,Intersection,34.095876,74.789172,0.0222593533294457,13.646051025390648,0.5070281982422102,1.0
82,Gujarat,Vadodara,2018,August,Thursday,9:3,Minor,4,Pedestrian,10,0,Foggy,National Highway,Dry,Dawn,Signals,74,21,Female,Expired,No,Bridge,22.329843,73.186542,24.89443802369351,31.454919433593773,25.889260864257835,0.8944271909999159
83,Maharashtra,Nagpur,2019,June,Monday,16:44,Minor,2,Car,5,5,Hazy,State Highway,Under Construction,Dawn,Signals,101,45,Female,,Yes,Bridge,21.124363,79.09831,8.674989640667263,39.9479919433594,30.28479919433596,0.6324555320336759
84,Manipur,Thoubal,2020,May,Sunday,8:53,Minor,5,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Daylight,Signals,33,24,Female,Valid,Yes,Bridge,24.650319,94.020512,6.396374105179348,26.60108337402346,18.07135925292971,1.0
85,Maharashtra,Nagpur,2023,May,Wednesday,12:2,Fatal,4,Two-Wheeler,7,1,Hazy,Urban Road,Under Construction,Dusk,Signs,57,49,Female,Expired,No,Straight Road,21.141119,79.1108,0.0724838203929323,41.11170349121096,28.230889892578148,0.8944271909999159
86,Chandigarh,Chandigarh,2020,October,Wednesday,17:6,Minor,1,Car,1,1,Rainy,Village Road,Damaged,Dusk,,43,60,Male,Expired,Yes,Curve,30.740151,76.783269,0.0011473894119262,32.807534790039085,19.167871093750023,0.4472135954999579
87,Madhya Pradesh,Gwalior,2022,July,Sunday,2:57,Minor,1,Car,8,2,Hazy,Urban Road,Dry,Dawn,Signs,81,18,Female,Expired,Yes,Intersection,26.231166,78.188443,84.19027776354326,35.51583251953127,26.21701965332033,0.4472135954999579
88,Bihar,Gaya,2023,March,Monday,3:27,Fatal,4,Bus,1,1,Hazy,Village Road,Dry,Dusk,Signals,67,63,Female,Expired,No,Bridge,24.819547,84.983469,1.1770112121780585,34.37722167968752,18.584832763671898,0.8944271909999159
89,Tripura,Udaipur,2022,February,Saturday,2:35,Fatal,4,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signals,98,64,Female,Expired,Yes,Curve,23.552527,91.469471,0.0166989900094449,26.46906433105471,13.41632995605471,0.8944271909999159
90,Madhya Pradesh,Jabalpur,2018,October,Tuesday,11:17,Serious,2,Bus,4,3,Clear,Village Road,Under Construction,Daylight,Signs,73,18,Female,Expired,No,Curve,23.160563,80.00233,0.0051498412787509,32.40387878417971,18.43354187011721,0.6324555320336759
91,Jharkhand,Ranchi,2021,November,Tuesday,23:18,Minor,2,Bus,3,0,Stormy,Village Road,Dry,Dusk,,95,36,Male,Expired,Yes,Intersection,23.337837,85.325415,121.40485681521795,22.016290283203148,16.213464355468773,0.6324555320336759
92,Assam,Guwahati,2022,May,Saturday,12:31,Minor,2,Bus,4,4,Stormy,Urban Road,Damaged,Dark,,82,27,Female,,Yes,Bridge,26.161063,91.750608,77.91762798939317,27.23951110839846,23.580224609375023,0.6324555320336759
93,Punjab,Amritsar,2018,August,Sunday,14:45,Serious,1,Cycle,3,1,Rainy,Village Road,Wet,Daylight,Signals,74,57,Male,Expired,No,Curve,31.644808,74.858509,14.010313238031811,32.49593505859377,25.46824035644533,0.4472135954999579
94,Nagaland,Dimapur,2018,July,Friday,9:17,Fatal,3,Auto-Rickshaw,7,3,Stormy,Urban Road,Damaged,Dawn,Signs,47,37,Male,Valid,No,Curve,25.888015,93.744505,93.07762524382213,31.09699401855471,25.77643737792971,0.7745966692414833
95,Uttar Pradesh,Lucknow,2020,April,Saturday,1:29,Minor,4,Car,5,3,Clear,National Highway,Damaged,Daylight,,36,34,Female,Expired,No,Curve,26.835896,80.94363,24.322569370244903,38.07673034667971,23.13874206542971,0.8944271909999159
96,Gujarat,Ahmedabad,2022,August,Sunday,12:26,Serious,1,Two-Wheeler,3,3,Rainy,State Highway,Under Construction,Daylight,Signs,59,55,Female,Expired,Yes,Bridge,23.038476,72.563523,131.7317872296364,28.978540039062523,24.999536132812523,0.4472135954999579
97,Tripura,Udaipur,2020,August,Monday,16:40,Serious,5,Cycle,10,5,Rainy,National Highway,Dry,Dusk,Police Checkpost,37,40,Female,Expired,No,Straight Road,23.542537,91.474443,41.36422574509879,29.45478210449221,25.042413330078148,1.0
98,Assam,Guwahati,2020,February,Saturday,12:7,Minor,2,Car,1,2,Stormy,Village Road,Damaged,Dusk,,73,61,Female,,Yes,Curve,26.149604,91.721569,5.555779859346188,23.6572204589844,15.763543701171898,0.6324555320336759
99,Karnataka,Mysore,2020,December,Tuesday,12:46,Fatal,2,Car,9,0,Foggy,Urban Road,Dry,Dusk,,60,58,Male,Expired,Yes,Straight Road,12.992367,77.5787,0.033508241074287,24.415872192382835,16.07850036621096,0.6324555320336759
100,Telangana,Karimnagar,2023,September,Sunday,13:12,Minor,1,Car,6,3,Stormy,State Highway,Dry,Dawn,Signs,84,52,Male,Expired,No,Bridge,18.44628,79.145275,111.35068312276886,28.362710571289085,24.428750610351585,0.4472135954999579
101,Tripura,Dharmanagar,2020,December,Sunday,10:51,Fatal,4,Auto-Rickshaw,4,4,Clear,State Highway,Dry,Daylight,Signs,100,62,Male,,No,Intersection,24.365527,92.14667,0.0008523463179699,24.34079895019533,13.29334411621096,0.8944271909999159
102,Andhra Pradesh,Tirupati,2019,August,Saturday,6:11,Serious,4,Cycle,5,3,Rainy,State Highway,Wet,Dusk,,98,44,Male,,No,Intersection,13.634175,79.427441,14.037765562534332,30.726113891601585,25.394387817382835,0.8944271909999159
103,Kerala,Thrissur,2022,April,Monday,5:20,Minor,3,Two-Wheeler,10,3,Clear,Urban Road,Under Construction,Dusk,,86,30,Male,Expired,Yes,Curve,10.551552,76.207333,28.105513568132068,31.91101989746096,23.115106201171898,0.7745966692414833
104,Jammu and Kashmir,Anantnag,2019,March,Sunday,7:50,Serious,1,Car,0,0,Hazy,National Highway,Dry,Daylight,Police Checkpost,50,20,Male,Expired,Yes,Bridge,33.715896,75.128868,5.519155642559781,7.30921325683596,-5.654318237304665,0.4472135954999579
